posted_date,applied,title,company,location,salary_preview,job_link,search_criteria,hash_id
03/07/24,No,"Software Engineer, Early Career","Viasat, Inc.","Carlsbad, CA 92009 
(North Beach area)","$84,600 - $147,000 a year",https://www.indeed.com/rc/clk?jk=c001397d789f06de&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,7b39e8590423383f60b3df57aa3997c05ede90e88d4ff431b3b4fddfe55a8b06
02/27/24,No,Fullstack Software Engineer,PermitFlow,"Remote in Ontario, CA","$125,000 - $190,000 a year",https://www.indeed.com/rc/clk?jk=8ed730b76bd9735b&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,21f86f1af8e075f48cc1c1fe6142bfc4714846cd6a9b30975e2df08b4b63f9d2
03/08/24,No,Web UI Engineer (L5) - Games UI,Netflix,"Los Gatos, CA",N/A,https://www.indeed.com/rc/clk?jk=e6aec28a22a797cb&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,0617c02512b2f474cc6ffe3904aa35c19ef255e9ad5a6740179772d897b52dd5
03/07/24,No,Junior Software Developer (Python) (Hybrid Remote),Reli.,"Hybrid remote in Los Angeles, CA","$65,000 a year",https://www.indeed.com/rc/clk?jk=241f02b607af21fe&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,4678a621c4658dfccb669d6a83fef8040a775f0456df3b8b3707137c0e3aed02
03/12/24,No,Software Engineer - Big Data Technologies,Apple,"San Diego, CA","$110,219.20 - $198,100.00 a year",https://www.indeed.com/rc/clk?jk=7ffec3df0531a571&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,f0bdd1a60c40ab34a0797c101dd3993cf450b9424e304bbfcf8b3e746fcd38f4
03/06/24,No,Software Engineer 1 - University Graduate,PayPal,"San Jose, CA",N/A,https://www.indeed.com/rc/clk?jk=326e19506683581c&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,a360677ca3c086bec21ab5ab34b91496f59211378692d0b66b099df4e9c1dbb5
03/08/24,No,DevOps Engineer,California Air Resources Board,"Hybrid remote in Sacramento, CA 95814",N/A,https://www.indeed.com/rc/clk?jk=cc0d2acc19063b0b&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,209402ba5bbde09cf2ad4d9a7334bc96fb8af9e59eb97c0e45e822986b622b2e
03/01/24,No,"Software Validation Engineer, Update Systems",Tesla,"Palo Alto, CA","$104,000 - $348,000 a year",https://www.indeed.com/rc/clk?jk=2c9c8796d0d41f4e&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,5d16b6202b929f5fe87757bb8e860034cac0a7210cc8471c63b23a29eb4f66a4
03/08/24,No,Software Engineer,Microsoft,"Mountain View, CA 94043",N/A,https://www.indeed.com/rc/clk?jk=bb88aa58a101ec08&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,40094066f7f958ab2ef991f931e155dd15335fd079b5bc90fd192d8b847e1d27
03/07/24,No,Software Engineering SMTS,Salesforce,"San Francisco, CA 94105 
(Financial District/South Beach area)","$147,368 - $227,700 a year",https://www.indeed.com/rc/clk?jk=263fe9ea6c06ad2c&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,b38827cd9baf211d5280ca95ef1c7dc201bcf544cd13dfd6a5da73ab66d79312
